member_casual,day_of_year,month,day_of_month,avg_ride_len_secs,avg_ride_len,num_rides,part_of_tot_rides
member,179,Jun,27,1208,00:20:08,9342,0.002805156058200232
casual,179,Jun,27,2726,00:45:26,10863,0.0032618722179650096
casual,180,Jun,28,2980,00:49:40,11089,0.0033297340536697037
member,180,Jun,28,1204,00:20:04,9004,0.0027036635782525039
casual,181,Jun,29,2568,00:42:48,3579,0.0010746792477305321
member,181,Jun,29,947,00:15:47,5679,0.0017052538272874242
casual,182,Jun,30,2447,00:40:47,6082,0.0018262640918404851
member,182,Jun,30,1044,00:17:24,8301,0.0024925712309056013
member,61,Mar,1,896,00:14:56,4616,0.0013860629805879116
casual,61,Mar,1,2503,00:41:43,2716,0.00081554312289358068
member,62,Mar,2,669,00:11:09,7173,0.0021538625996007561
